Date,Open,High,Low,Close,Volume,Adj Close
2016-05-27,0.61,0.70,0.61,0.70,7200,7.00
2016-05-26,0.68,0.70,0.68,0.69,10700,6.90
2016-05-25,0.69,0.70,0.68,0.68,1500,6.80
2016-05-24,0.66,0.70,0.66,0.69,2600,6.90
2016-05-23,0.70,0.70,0.65,0.69,3200,6.90
2016-05-20,0.63,0.69,0.63,0.69,5500,6.90
2016-05-19,0.68,0.69,0.63,0.68,2900,6.80
2016-05-18,0.67,0.68,0.67,0.68,2100,6.80
2016-05-17,0.70,0.72,0.64,0.68,11300,6.80
2016-05-16,0.73,0.76,0.70,0.72,6100,7.20
2016-05-13,0.75,0.79,0.73,0.76,3700,7.60
2016-05-12,0.79,0.79,0.73,0.75,3600,7.50
2016-05-11,0.76,0.80,0.74,0.77,6100,7.70
2016-05-10,0.75,0.81,0.75,0.81,3600,8.100001
2016-05-09,0.84,0.84,0.77,0.82,1700,8.20
2016-05-06,0.79,0.85,0.76,0.84,6700,8.40
2016-05-05,0.83,0.85,0.79,0.84,3800,8.40
2016-05-04,0.85,0.90,0.81,0.82,2700,8.20
2016-05-03,0.80,0.90,0.80,0.86,3000,8.600001
2016-05-02,0.81,0.89,0.77,0.87,17200,8.70
2016-04-29,0.78,0.78,0.70,0.77,6700,7.70
2016-04-28,0.77,0.78,0.73,0.78,4800,7.80
2016-04-27,0.77,0.77,0.72,0.74,5900,7.40
